player_id,name,goals,assists,yellow_cards,red_cards,minutes
7028.0,Filip Daems,7,0,8,0,8280
7041.0,Servet Cetin,6,3,13,0,8100
7043.0,Semih Sentürk,15,3,12,0,5670
7072.0,Mustafa Keceli,1,0,7,0,1800
7093.0,Francesco Magnanelli,4,4,58,0,20250
7096.0,Daniele Gastaldello,6,5,50,4,12960
7101.0,Paolo Sammarco,5,2,7,0,3330
7108.0,0,1,0,0,0,0
7109.0,Andrea Barzagli,3,3,19,0,20430
7133.0,Luciano Figueroa,5,1,2,0,1350
7152.0,Yalcin Ayhan,13,8,22,0,18990
7153.0,Mehmet Nas,2,3,7,0,3960
7161.0,Jonas Hofmann,66,79,15,0,30690
7237.0,Sabri Sarioglu,2,20,21,1,14490
7252.0,Aleksandr Ryazantsev,15,25,6,2,14220
7264.0,Ibrahim Toraman,3,1,12,0,3330
7302.0,0,2,0,0,0,0
7309.0,Senol Can,1,3,13,0,9180
7319.0,Egemen Korkmaz,7,3,24,1,8280
7325.0,0,2,4,0,0,0
7326.0,Kwame Quansah,1,3,13,0,5670
7345.0,Serkan Balci,1,6,35,0,10080
7346.0,Ugur Boral,1,2,5,0,2340
7373.0,Albert Riera,2,3,11,0,3960
7394.0,Gökhan Ünal,9,3,4,0,3780
7401.0,Bekir Irtegün,10,1,30,1,10710
7416.0,0,3,0,0,0,0
7423.0,Ömer Erdogan,1,2,4,0,1530
7427.0,Ivica Olic,36,16,9,0,10800
7444.0,Bilal Kisa,16,25,30,0,13320
7449.0,Gaël Clichy,5,21,25,0,24030
7451.0,Mikel Arteta,12,7,18,1,9900
7468.0,José Javier Barkero,6,7,5,0,3510
7476.0,Xabi Alonso,10,23,59,0,18720
7480.0,Joseba Llorente,3,0,4,1,2430
7486.0,Joan Capdevila,1,0,8,0,3690
7492.0,Manuel Pablo,1,2,7,1,3420
7501.0,Juan Carlos Valerón,1,11,2,0,4680
7512.0,Borja Fernández,2,3,28,0,7650
7519.0,Rubén González,2,0,7,0,1800
7520.0,Esteban Cambiasso,21,14,10,1,14670
7532.0,0,1,0,0,0,0
7542.0,Juanfran,3,6,31,1,10620
7553.0,0,1,0,0,0,0
7568.0,David Navarro,3,3,29,2,10350
7572.0,Carlos Marchena,3,0,9,0,2070
7594.0,Carles Puyol,4,0,6,0,3060
7600.0,Andrés Iniesta,16,56,25,0,24030
7602.0,Thiago Motta,8,14,45,4,17190
7607.0,Xavi,13,28,1,0,12510
7611.0,Javier Saviola,25,12,3,0,7830
7631.0,Carlos Gurpegui,5,1,44,0,11520
7633.0,Pablo Orbaiz,1,2,4,0,3240
7663.0,Joaquín,45,58,30,0,31860
7682.0,Ariel Ibagaza,2,17,10,0,6030
7699.0,0,1,0,0,0,0
7713.0,0,2,0,0,0,0
7717.0,José Antonio Reyes,19,33,23,0,14400
7739.0,Patxi Puñal,2,3,12,2,4770
7761.0,0,4,2,0,0,0
